camera,serial,frame_index,unix_time_ns,image_file,meta_frame_count,meta_frames_dropped,meta_capture_time_ns,meta_camera_time_ns,meta_is_damaged
left,44814142,45,1772205328751619952,left_000045_1772205328751619952.png,45,12,1772205328437585000,5266191095128,False
right,44814140,45,1772205328753731164,right_000045_1772205328753731164.png,45,14,1772205328437598000,5266191105425,False
left,44814142,46,1772205328833056293,left_000046_1772205328833056293.png,46,12,1772205328499485000,5266241630513,False
right,44814140,46,1772205328835447094,right_000046_1772205328835447094.png,46,15,1772205328588328000,5266341735201,False
left,44814142,47,1772205328912006131,left_000047_1772205328912006131.png,47,12,1772205328588350000,5266341724065,False
right,44814140,47,1772205328913600673,right_000047_1772205328913600673.png,47,15,1772205328638383000,5266391740433,False
left,44814142,48,1772205328995943912,left_000048_1772205328995943912.png,48,14,1772205328788567000,5266541967043,False
right,44814140,48,1772205328997929841,right_000048_1772205328997929841.png,48,15,1772205328688312000,5266441717713,False
left,44814142,49,1772205329080416422,left_000049_1772205329080416422.png,49,14,1772205328838622000,5266592083627,False
right,44814140,49,1772205329082197085,right_000049_1772205329082197085.png,49,16,1772205328838648000,5266592096289,False
left,44814142,50,1772205329164384058,left_000050_1772205329164384058.png,50,14,1772205328890373000,5266642144371,False
right,44814140,50,1772205329166479375,right_000050_1772205329166479375.png,50,16,1772205328890543000,5266642129425,False
left,44814142,51,1772205329246913893,left_000051_1772205329246913893.png,51,14,1772205328938615000,5266692093434,False
right,44814140,51,1772205329249212701,right_000051_1772205329249212701.png,51,16,1772205328938589000,5266692078769,False
left,44814142,52,1772205329326158377,left_000052_1772205329326158377.png,52,14,1772205328996224000,5266742405427,False
right,44814140,52,1772205329330014188,right_000052_1772205329330014188.png,52,16,1772205328998422000,5266742419025,False
left,44814142,53,1772205329402800656,left_000053_1772205329402800656.png,53,16,1772205329189010000,5266942424818,False
right,44814140,53,1772205329408340378,right_000053_1772205329408340378.png,53,16,1772205329089027000,5266842429409,False
left,44814142,54,1772205329486201697,left_000054_1772205329486201697.png,54,16,1772205329248056000,5266992625082,False
right,44814140,54,1772205329490566366,right_000054_1772205329490566366.png,54,17,1772205329250042000,5266992640449,False
left,44814142,55,1772205329568910617,left_000055_1772205329568910617.png,55,16,1772205329289208000,5267042629938,False
right,44814140,55,1772205329573089179,right_000055_1772205329573089179.png,55,17,1772205329289175000,5267042617713,False
left,44814142,56,1772205329649622694,left_000056_1772205329649622694.png,56,16,1772205329339275000,5267092690634,False
right,44814140,56,1772205329652910408,right_000056_1772205329652910408.png,56,17,1772205329339275000,5267092706657,False
left,44814142,57,1772205329731706923,left_000057_1772205329731706923.png,57,17,1772205329489866000,5267243347283,False
right,44814140,57,1772205329734675451,right_000057_1772205329734675451.png,57,18,1772205329489839000,5267243336481,False
left,44814142,58,1772205329812202350,left_000058_1772205329812202350.png,58,17,1772205329539757000,5267293240410,False
right,44814140,58,1772205329821919713,right_000058_1772205329821919713.png,58,18,1772205329541623000,5267293257937,False
left,44814142,59,1772205329892022002,left_000059_1772205329892022002.png,59,17,1772205329589703000,5267343189426,False
right,44814140,59,1772205329912069074,right_000059_1772205329912069074.png,59,18,1772205329589710000,5267343179361,False
left,44814142,60,1772205329978288478,left_000060_1772205329978288478.png,60,17,1772205329650344000,5267393641019,False
right,44814140,60,1772205329988738163,right_000060_1772205329988738163.png,60,19,1772205329740196000,5267493613745,False
left,44814142,61,1772205330062531482,left_000061_1772205330062531482.png,61,17,1772205329740188000,5267493594946,False
right,44814140,61,1772205330067308736,right_000061_1772205330067308736.png,61,19,1772205329790194000,5267543591025,False
left,44814142,62,1772205330145164254,left_000062_1772205330145164254.png,62,18,1772205329892482000,5267644112107,False
right,44814140,62,1772205330147996322,right_000062_1772205330147996322.png,62,19,1772205329840182000,5267593624145,False
left,44814142,63,1772205330228926540,left_000063_1772205330228926540.png,63,18,1772205329940339000,5267693781873,False
right,44814140,63,1772205330231180993,right_000063_1772205330231180993.png,63,20,1772205329990558000,5267744002737,False
left,44814142,64,1772205330313001725,left_000064_1772205330313001725.png,64,18,1772205329990515000,5267744010074,False
right,44814140,64,1772205330314751491,right_000064_1772205330314751491.png,64,20,1772205330042563000,5267794342977,False
left,44814142,65,1772205330397475577,left_000065_1772205330397475577.png,65,19,1772205330145499000,5267894499234,False
right,44814140,65,1772205330399815932,right_000065_1772205330399815932.png,65,20,1772205330090557000,5267844013153,False
left,44814142,66,1772205330471116498,left_000066_1772205330471116498.png,66,19,1772205330190708000,5267944252859,False
right,44814140,66,1772205330474277631,right_000066_1772205330474277631.png,66,20,1772205330148509000,5267894493009,False
left,44814142,67,1772205330546292693,left_000067_1772205330546292693.png,67,19,1772205330240938000,5267994397315,False
right,44814140,67,1772205330549403861,right_000067_1772205330549403861.png,67,22,1772205330341195000,5268094597617,False
left,44814142,68,1772205330630997364,left_000068_1772205330630997364.png,68,20,1772205330398715000,5268144663227,False
right,44814140,68,1772205330633384132,right_000068_1772205330633384132.png,68,22,1772205330401107000,5268144658673,False
left,44814142,69,1772205330713149428,left_000069_1772205330713149428.png,69,20,1772205330441328000,5268194751891,False
right,44814140,69,1772205330716017749,right_000069_1772205330716017749.png,69,22,1772205330441332000,5268194747649,False
left,44814142,70,1772205330796563588,left_000070_1772205330796563588.png,70,20,1772205330491348000,5268244784667,False
right,44814140,70,1772205330798822717,right_000070_1772205330798822717.png,70,22,1772205330491352000,5268244780785,False
left,44814142,71,1772205330877324636,left_000071_1772205330877324636.png,71,20,1772205330546548000,5268295208292,False
right,44814140,71,1772205330879665323,right_000071_1772205330879665323.png,71,22,1772205330550048000,5268295204801,False
left,44814142,72,1772205330955606590,left_000072_1772205330955606590.png,72,22,1772205330741832000,5268495311338,False
right,44814140,72,1772205330957276541,right_000072_1772205330957276541.png,72,24,1772205330741836000,5268495309361,False
left,44814142,73,1772205331038841481,left_000073_1772205331038841481.png,73,22,1772205330796843000,5268545734964,False
right,44814140,73,1772205331042891168,right_000073_1772205331042891168.png,73,24,1772205330799400000,5268545733361,False
left,44814142,74,1772205331121667829,left_000074_1772205331121667829.png,74,22,1772205330842165000,5268595600203,False
right,44814140,74,1772205331123932032,right_000074_1772205331123932032.png,74,24,1772205330842187000,5268595598977,False
left,44814142,75,1772205331205558427,left_000075_1772205331205558427.png,75,22,1772205330892162000,5268645632963,False
right,44814140,75,1772205331206913670,right_000075_1772205331206913670.png,75,24,1772205330892212000,5268645632113,False
left,44814142,76,1772205331287688325,left_000076_1772205331287688325.png,76,23,1772205331042607000,5268796149979,False
right,44814140,76,1772205331289195878,right_000076_1772205331289195878.png,76,25,1772205331042650000,5268796150385,False
left,44814142,77,1772205331365107964,left_000077_1772205331365107964.png,77,23,1772205331092777000,5268846210643,False
right,44814140,77,1772205331367617598,right_000077_1772205331367617598.png,77,25,1772205331092801000,5268846211457,False
left,44814142,78,1772205331439317279,left_000078_1772205331439317279.png,78,23,1772205331142697000,5268896159643,False
right,44814140,78,1772205331444096535,right_000078_1772205331444096535.png,78,25,1772205331142712000,5268896160865,False
right,44814140,79,1772205331525129928,right_000079_1772205331525129928.png,79,26,1772205331292991000,5269046427841,False
left,44814142,79,1772205331522578519,left_000079_1772205331522578519.png,79,24,1772205331292986000,5269046425397,False
right,44814140,80,1772205331601799562,right_000080_1772205331601799562.png,80,26,1772205331342995000,5269096433089,False
left,44814142,80,1772205331612287004,left_000080_1772205331612287004.png,80,24,1772205331344735000,5269096430236,False
left,44814142,81,1772205331689205256,left_000081_1772205331689205256.png,81,24,1772205331393072000,5269146518820,False
